time,linesAdded,linesRemoved,totalChurn,loc,maxstatements,maxdepth,complexity,maxlen,maxparams,maxnestedcallbacks,complexswitchcase,thisassign,complexchaining,noreassign,noextrabind,condassign,event,smelly
96,0,1,1,131,0,0,0,0,0,0,0,0,0,1,0,0,0,1
28,27,8,35,150,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2154,2,2,4,150,1,0,0,0,0,0,0,0,0,1,0,0,0,1
3,0,1,1,149,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2,12,5,17,156,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1,1,2,156,1,0,0,0,0,0,0,0,0,1,0,0,0,1
8492,1,1,2,156,1,0,0,0,0,0,0,0,0,1,0,0,0,1
122,5,1,6,160,1,0,0,0,0,0,0,0,0,1,0,0,0,1
144,3,1,4,162,1,0,0,0,0,0,0,0,0,1,0,0,0,1
438,1,1,2,165,1,0,0,0,0,0,0,0,0,1,0,0,0,1
760,4,1,5,165,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1153,1,1,2,165,1,0,0,0,0,0,0,0,0,1,0,0,0,1
4728,1,1,2,165,1,0,0,0,0,0,0,0,0,1,0,0,0,1
3277,1,1,2,165,1,0,0,0,0,0,0,0,0,1,0,0,0,1
4556,1,1,2,165,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1005,1,1,2,165,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1341,0,9,9,156,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0,7,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2,2,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,21,4,25,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,24,5,29,43,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,2,2,4,43,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,2,1,3,44,0,0,0,0,0,0,0,0,0,1,0,0,0,1
