time,linesAdded,linesRemoved,totalChurn,loc,maxstatements,maxdepth,complexity,maxlen,maxparams,maxnestedcallbacks,complexswitchcase,thisassign,complexchaining,noreassign,noextrabind,condassign,event,smelly
72,7,1,8,217,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1,1,2,217,0,0,0,0,0,0,0,0,0,1,0,0,0,1
25,3,0,3,220,0,0,0,0,0,0,0,0,0,1,0,0,0,1
15,4,1,5,223,0,0,0,0,0,0,0,0,0,1,0,0,0,1
44,25,21,46,227,0,0,0,0,0,0,0,0,0,1,0,0,0,1
6,2,2,4,227,0,0,0,0,0,0,0,0,0,1,0,0,0,1
71,1,2,3,226,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,4,5,9,225,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,2,4,6,223,0,0,0,0,0,0,0,0,0,1,0,0,0,1
6,10,1,11,232,0,0,0,0,0,0,0,0,0,1,0,0,0,1
40,25,6,31,251,0,0,0,0,0,0,0,0,0,1,0,0,0,1
55,4,4,8,251,0,0,0,0,0,0,0,0,0,1,0,0,0,1
98,15,140,155,126,0,0,0,0,0,0,0,0,0,1,0,0,0,1
14,7,18,25,115,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,0,1,116,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,3,3,6,116,0,0,0,0,0,0,0,0,0,1,0,0,0,1
64,6,77,83,45,0,0,0,0,0,0,0,0,0,1,0,0,0,1
102,1,4,5,42,0,0,0,0,0,0,0,0,0,1,0,0,0,1
73,4,4,8,42,0,0,0,0,0,0,0,0,0,1,0,0,0,1
501,2,2,4,42,0,0,0,0,0,0,0,0,0,1,0,0,0,1
387,0,43,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,224,0,224,223,0,0,0,0,0,1,0,0,0,1,0,0,0,1
5,1,1,2,223,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,4,3,7,224,0,0,0,0,0,1,0,0,0,1,0,0,0,1
25,1,1,2,224,0,0,0,0,0,1,0,0,0,1,0,0,0,1
1,7,5,12,226,0,0,0,0,0,1,0,0,0,1,0,0,0,1
25,29,157,186,98,0,0,0,0,0,0,0,0,0,1,0,0,0,1
205,1,1,2,98,0,0,0,0,0,0,0,0,0,1,0,0,0,1
196,3,8,11,93,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,18,3,21,108,0,0,0,0,0,0,0,0,0,1,0,0,0,1
13,7,2,9,113,0,0,0,0,0,0,0,0,0,1,0,0,0,1
54,0,3,3,110,0,0,0,0,0,0,0,0,0,1,0,0,0,1
45,1,0,1,111,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,64,8,72,167,0,0,0,0,0,1,0,0,0,1,0,0,0,1
1,8,64,72,111,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,58,35,93,134,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1,1,2,134,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1,3,4,132,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,23,11,34,144,0,0,0,0,0,0,0,0,0,1,0,0,0,1
