time,linesAdded,linesRemoved,totalChurn,loc,maxstatements,maxdepth,complexity,maxlen,maxparams,maxnestedcallbacks,complexswitchcase,thisassign,complexchaining,noreassign,noextrabind,condassign,event,smelly
12622,1,1,2,122,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1,2,3,121,0,0,0,0,0,0,0,0,0,1,0,0,0,1
891,19,0,19,140,0,0,0,0,0,0,0,0,0,1,0,0,0,1
442,140,132,272,148,0,0,0,0,0,0,0,0,0,1,0,0,0,1
248,2,0,2,150,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1,1,2,150,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,19,19,38,150,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,2,2,4,150,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1965,3,2,5,151,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1722,1,3,4,149,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1235,5,0,5,154,0,0,0,0,0,0,0,0,0,1,0,0,0,1
66,0,3,3,151,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4100,50,50,100,151,0,0,0,0,0,0,0,0,0,1,0,0,0,1
412,20,0,20,171,0,0,0,0,0,0,0,0,0,1,0,0,0,1
7984,3,3,6,171,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3688,47,64,111,154,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,28,0,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6866,8,1,9,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,7,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2332,7,0,7,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9055,1,1,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13893,22,1,23,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,63,53,116,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,2,0,2,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,9,0,9,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2869,19,0,19,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
763,1,2,3,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1610,11,0,11,108,0,0,0,0,0,0,0,0,0,1,0,0,0,1
12188,1,1,2,108,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3688,23,23,46,108,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,53,0,53,53,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2307,24,1,25,76,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1270,13,3,16,86,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,15,3,18,97,0,0,0,0,0,0,0,0,0,1,0,0,0,1
241,19,1,20,115,0,0,0,0,0,0,0,0,1,1,0,0,0,1
20,25,5,30,136,0,0,0,0,0,0,0,0,1,1,0,0,0,1
