time,linesAdded,linesRemoved,totalChurn,loc,maxstatements,maxdepth,complexity,maxlen,maxparams,maxnestedcallbacks,complexswitchcase,thisassign,complexchaining,noreassign,noextrabind,condassign,event,smelly
126,4,4,8,238,0,0,0,0,0,0,0,1,0,1,0,0,0,1
22,2,1,3,239,0,0,0,0,0,0,0,1,0,1,0,0,0,1
5,2,32,34,209,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0,2,2,4,209,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0,5,57,62,157,0,0,0,0,0,0,0,1,0,1,0,0,0,1
47,5,40,45,122,0,0,0,0,0,0,0,1,0,1,0,0,0,1
36,1,7,8,116,0,0,0,0,0,0,0,1,0,1,0,0,0,1
90,0,2,2,114,0,0,0,0,0,0,0,1,0,1,0,0,0,1
4,231,40,271,305,0,0,0,0,0,0,0,1,0,1,0,0,1,1
190,2,2,4,305,0,0,0,0,0,0,0,1,0,1,0,0,0,1
270,0,3,3,302,0,0,0,0,0,0,0,1,0,1,0,0,0,1
98,0,24,24,278,0,0,0,0,0,0,0,1,0,1,0,0,0,1
98,5,0,5,283,0,0,0,0,0,0,0,1,0,1,0,0,0,1
48,10,4,14,289,0,0,0,0,0,0,0,1,0,1,0,0,0,1
41,30,26,56,293,0,0,0,0,0,1,0,1,0,1,0,0,0,1
3,41,35,76,299,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2,0,19,19,280,0,0,0,0,0,0,0,1,0,1,0,0,0,1
70,2,1,3,281,0,0,0,0,0,0,0,1,0,1,0,0,0,1
209,2,0,2,283,0,0,0,0,0,0,0,1,0,1,0,0,0,1
3,1,1,2,283,0,0,0,0,0,0,0,1,0,1,0,0,0,1
5,1,0,1,284,0,0,0,0,0,0,0,1,0,1,0,0,0,1
627,1,0,1,285,0,0,0,0,0,0,0,1,0,1,0,0,0,1
424,36,30,66,291,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0,1,1,2,291,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2,19,38,57,272,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0,1,20,21,253,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2,10,1,11,300,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0,1,1,2,253,0,0,0,0,0,0,0,1,0,1,0,0,0,1
19,2,1,3,301,0,0,0,0,0,0,0,1,0,1,0,0,0,1
292,0,2,2,261,0,0,0,0,0,0,0,1,0,1,0,0,0,1
26,0,12,12,249,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0,3,1,4,251,0,0,0,0,0,0,0,1,0,1,0,0,0,1
3,1,1,2,251,0,0,0,0,0,0,0,1,0,1,0,0,0,1
96,2,0,2,253,0,0,0,0,0,0,0,1,0,1,0,0,0,1
21,4,1,5,256,0,0,0,0,0,0,0,1,0,1,0,0,0,1
