time,linesAdded,linesRemoved,totalChurn,loc,maxstatements,maxdepth,complexity,maxlen,maxparams,maxnestedcallbacks,complexswitchcase,thisassign,complexchaining,noreassign,noextrabind,condassign,event,smelly
1,8,14,22,524,0,0,0,0,0,0,0,0,1,1,0,0,0,1
7,2,2,4,524,0,0,0,0,0,0,0,0,1,1,0,0,0,1
0,4,0,4,528,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1,1,1,2,508,0,0,0,0,0,0,0,0,1,1,0,0,0,1
33,22,17,39,432,0,0,0,0,0,0,0,0,1,1,0,0,0,1
22,48,19,67,557,0,0,0,0,0,0,0,0,1,1,0,0,0,1
17,7,10,17,554,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1,7,14,21,547,0,0,0,0,0,0,0,0,1,1,0,0,0,1
10,9,15,24,541,0,0,0,0,0,0,0,0,1,1,0,0,0,1
7,1,1,2,508,0,0,0,0,0,0,0,0,1,1,0,0,0,1
21,1,1,2,541,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1,2,2,4,541,0,0,0,0,0,0,0,0,1,1,0,0,0,1
6,5,18,23,497,0,0,0,0,0,0,0,0,1,1,0,0,0,1
40,14,5,19,550,0,0,0,0,0,0,0,0,1,1,0,0,0,1
0,11,4,15,557,0,0,0,0,0,0,0,0,1,1,0,0,0,1
40,12,9,21,560,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1,10,3,13,567,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1,13,4,17,576,0,0,0,0,0,0,0,0,1,1,0,0,0,1
0,2,2,4,576,0,0,0,0,0,0,0,0,1,1,0,0,0,1
18,6,15,21,567,0,0,0,0,0,0,0,0,1,1,0,0,0,1
34,1,1,2,567,0,0,0,0,0,0,0,0,1,1,0,0,0,1
0,1,1,2,567,0,0,0,0,0,0,0,0,1,1,0,0,0,1
28,26,25,51,568,0,0,0,0,0,0,0,0,1,1,0,0,0,1
55,21,25,46,564,0,0,0,1,0,0,0,0,1,1,0,0,0,1
26,6,6,12,564,0,0,0,1,0,0,0,0,1,1,0,0,0,1
0,19,5,24,578,0,0,0,1,0,0,0,0,1,1,0,0,0,1
70,7,7,14,578,0,0,0,1,0,0,0,0,1,1,0,0,0,1
138,8,6,14,580,0,0,0,1,0,0,0,0,1,1,0,0,0,1
0,5,2,7,583,0,0,0,1,0,0,0,0,1,1,0,0,0,1
158,58,2,60,639,0,0,0,1,0,0,0,0,1,1,0,0,1,1
0,2,8,10,633,0,0,0,1,0,0,0,0,1,1,0,0,0,1
0,1,0,1,634,0,0,0,1,0,0,0,0,1,1,0,0,0,1
0,12,0,12,646,1,0,0,1,0,0,0,0,1,1,0,0,0,1
0,1,1,2,646,1,0,0,1,0,0,0,0,1,1,0,0,0,1
3,1,1,2,646,1,0,0,1,0,0,0,0,1,1,0,0,0,1
5,3,11,14,638,0,0,0,1,0,0,0,0,1,1,0,0,0,1
0,1,0,1,639,0,0,0,1,0,0,0,0,1,1,0,0,0,1
134,61,35,96,665,1,0,1,1,0,0,0,0,1,1,0,0,0,1
0,29,30,59,664,1,0,1,1,0,0,0,0,1,1,0,0,0,1
5,38,31,69,671,1,0,1,1,0,0,0,0,1,1,0,0,0,1
0,5,2,7,674,1,0,1,1,0,0,0,0,1,1,0,0,0,1
1,9,5,14,678,1,0,1,1,0,0,0,0,1,1,0,0,0,1
1,3,3,6,678,1,0,1,1,0,0,0,0,1,1,0,0,0,1
1,16,3,19,691,1,0,1,1,0,0,0,0,1,1,0,0,0,1
12,9,4,13,696,0,0,1,1,0,0,0,0,1,1,0,0,0,1
1,3,1,4,698,1,0,1,1,0,0,0,0,1,1,0,0,0,1
4,8,8,16,698,1,0,1,1,0,0,0,0,1,1,0,0,0,1
4,13,16,29,695,1,0,1,1,0,0,0,0,1,1,0,0,0,1
4,2,2,4,695,1,0,1,1,0,0,0,0,1,1,0,0,0,1
0,1,3,4,693,1,0,1,1,0,0,0,0,1,1,0,0,0,1
33,2,2,4,693,1,0,1,1,0,0,0,0,1,1,0,0,0,1
10,6,1,7,698,1,0,1,1,0,0,0,0,1,1,0,0,0,1
1,12,18,30,692,1,0,1,1,0,0,0,0,1,1,0,0,0,1
1,2,2,4,692,1,0,1,1,0,0,0,0,1,1,0,0,0,1
3,30,26,56,696,1,0,1,1,0,0,0,0,1,1,0,0,0,1
22,30,14,44,712,1,0,1,1,0,0,0,0,1,1,0,0,0,1
26,20,14,34,718,1,0,1,1,0,0,0,0,1,1,0,0,0,1
0,1,1,2,718,1,0,1,1,0,0,0,0,1,1,0,0,0,1
0,3,1,4,720,1,0,1,1,0,0,0,0,1,1,0,0,0,1
18,1,1,2,720,1,0,1,1,0,0,0,0,1,1,0,0,0,1
146,1,1,2,720,1,0,1,1,0,0,0,0,1,1,0,0,0,1
3,1,1,2,720,1,0,1,1,0,0,0,0,1,1,0,0,0,1
24,5,3,8,722,1,0,1,1,0,0,0,0,1,1,0,0,0,1
1,2,2,4,722,1,0,1,1,0,0,0,0,1,1,0,0,0,1
55,4,1,5,725,1,0,1,1,0,0,0,0,1,1,0,0,0,1
651,4,0,4,729,1,0,1,1,0,0,0,0,1,1,0,0,0,1
0,2,2,4,729,1,0,1,1,0,0,0,0,1,1,0,0,0,1
85,1,1,2,729,1,0,1,1,0,0,0,0,1,1,0,0,0,1
622,22,1,23,750,1,0,1,1,0,0,0,0,1,1,0,0,0,1
16,1,1,2,729,1,0,1,1,0,0,0,0,1,1,0,0,0,1
2,77,46,123,760,1,0,1,1,0,0,0,0,1,1,0,0,0,1
0,3,1,4,762,1,0,1,1,0,0,0,0,1,1,0,0,0,1
